,price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Price_sqft
117,8460000.0,Mira,1045.0,19.285007,72.871962,2.0,2.0,8095.693779904306
118,22100000.0,Borivali,1330.0,19.220760345458984,72.85809326171875,2.0,2.0,16616.541353383458
119,12600000.0,Dahisar,1100.0,19.263496,72.875621,2.0,2.0,11454.545454545454
120,5580000.0,Mira,915.0,19.35926793,72.85687374,2.0,2.0,6098.360655737705
121,23500000.0,Goregaon,1210.0,19.1629924,72.8393019,2.0,3.0,19421.487603305784
122,32000000.0,Byculla,961.0,19.1137131,72.8610097,2.0,3.0,33298.64724245577
123,38300000.0,Goregaon,1600.0,19.1629924,72.8393019,3.0,3.0,23937.5
124,17500000.0,Chandivali,1050.0,19.1184266,72.8958535,2.0,2.0,16666.666666666668
125,14500000.0,Malad,900.0,19.191485,72.83739,2.0,2.0,16111.111111111111
126,20100000.0,Andheri,1131.0,19.141978,72.812312,2.0,2.0,17771.883289124667
127,7200000.0,Mira,850.0,19.280031,72.883798,2.0,2.0,8470.588235294117
128,14400000.0,Malad,1000.0,19.1859,72.84037,2.0,2.0,14400.0
129,15100000.0,Malad,727.0,19.19038,72.83293,2.0,2.0,20770.28885832187
130,35000000.0,Matunga,806.0,19.022622,72.858387,2.0,2.0,43424.31761786601
131,46500000.0,Worli,1750.0,19.006180342037,72.8286779623475,3.0,3.0,26571.42857142857
132,15000000.0,Kandivali,1500.0,19.204983,72.824373,2.0,2.0,10000.0
133,13600000.000000002,Mulund,910.0,19.1746739,72.9431038,2.0,2.0,14945.054945054948
134,18500000.0,Ghatkopar,1000.0,19.07907,72.907976,2.0,2.0,18500.0
135,8500000.0,Mira,974.0,19.2834,72.886291,2.0,2.0,8726.899383983573
136,25000000.0,Bandra,800.0,19.05861,72.84431,2.0,2.0,31250.0
137,60000000.0,Chembur,1316.0,19.046912,72.90759,3.0,3.0,45592.705167173255
138,28000000.0,Andheri,1513.0,19.110616,72.856052,3.0,3.0,18506.278916060808
139,65000000.0,Sion,2300.0,19.04094,72.865281,4.0,5.0,28260.869565217392
140,12000000.0,Kandivali,860.0,19.202279,72.82841,2.0,2.0,13953.488372093025
141,65599999.99999999,Worli,1914.0,19.0166667,72.8166667,3.0,3.0,34273.772204806686
142,50000000.0,Sewri,2303.0,18.99331,72.847938,3.0,3.0,21710.81198436821
143,28900000.0,Kanjurmarg,1700.0,19.136807,72.930675,3.0,3.0,17000.0
144,18000000.0,Kanjurmarg,1157.0,19.12998,72.933221,2.0,2.0,15557.476231633536
145,55000000.0,Santacruz,1500.0,19.0815087,72.8376755,3.0,3.0,36666.66666666666
146,21000000.0,Goregaon,1050.0,19.12882804870605,72.8330078125,2.0,2.0,20000.0
147,12600000.0,Chembur,925.0,19.043911,72.898778,2.0,2.0,13621.621621621622
148,9360000.0,Mulund,585.0,19.1746739,72.9431038,2.0,2.0,16000.0
149,17500000.0,Powai,1075.0,19.111397,72.901428,2.0,2.0,16279.06976744186
150,9220000.0,Mira,1160.0,19.293649,72.865711,2.0,2.0,7948.275862068966
151,15100000.0,Jogeshwari,764.0,19.131688,72.840701,2.0,2.0,19764.39790575916
152,18500000.0,Andheri,667.0,19.118157,72.856716,2.0,2.0,27736.131934032983
153,19500000.0,Powai,1030.0,19.123709,72.892867,2.0,2.0,18932.038834951454
154,11900000.0,Kandivali,1060.0,19.202279,72.82841,2.0,2.0,11226.415094339623
155,24400000.0,Mulund,980.0,19.1746739,72.9431038,3.0,3.0,24897.95918367347
156,29000000.0,Mulund,1670.0,19.1746739,72.9431038,3.0,3.0,17365.269461077845
157,28000000.0,Wadala,1200.0,19.03731,72.87871,2.0,2.0,23333.33333333333
