,price,Address,area,Bedrooms,Bathrooms
286,24500000.0,Andheri,900.0,2.0,2.0
287,70000000.0,Andheri,2500.0,4.0,5.0
288,42500000.0,Andheri,1650.0,3.0,3.0
289,14000000.0,Andheri,585.0,2.0,2.0
290,18500000.0,Andheri,850.0,2.0,2.0
291,17500000.0,Andheri,810.0,2.0,2.0
292,35000000.0,Andheri,1450.0,3.0,3.0
295,16500000.0,Andheri,745.0,2.0,2.0
296,30000000.0,Andheri,1112.0,2.0,2.0
297,20000000.0,Andheri,900.0,2.0,2.0
298,37000000.0,Andheri,1330.0,2.0,2.0
300,22000000.0,Andheri,1250.0,2.0,2.0
301,30000000.0,Andheri,1200.0,2.0,2.0
302,21500000.0,Andheri,900.0,2.0,2.0
303,19000000.0,Andheri,1000.0,2.0,2.0
304,15000000.0,Andheri,590.0,2.0,2.0
305,23000000.0,Andheri,1000.0,2.0,2.0
307,22000000.0,Andheri,880.0,2.0,2.0
308,45000000.0,Andheri,1820.0,3.0,3.0
309,22500000.0,Andheri,1100.0,2.0,2.0
311,18500000.0,Andheri,920.0,2.0,2.0
312,33000000.0,Andheri,1100.0,2.0,2.0
313,73000000.0,Andheri,2400.0,4.0,4.0
315,17400000.0,Andheri,720.0,2.0,2.0
318,22000000.0,Andheri,1100.0,2.0,2.0
319,16000000.0,Andheri,800.0,2.0,2.0
320,11000000.0,Andheri,560.0,2.0,2.0
321,27500000.0,Andheri,1000.0,2.0,2.0
323,20000000.0,Andheri,800.0,2.0,2.0
324,18000000.0,Andheri,946.0,2.0,2.0
325,37500000.0,Andheri,1420.0,3.0,2.0
327,25000000.0,Andheri,850.0,2.0,2.0
328,16000000.0,Andheri,924.0,2.0,2.0
329,27500000.0,Andheri,1370.0,2.0,2.0
330,13000000.0,Andheri,642.0,2.0,2.0
331,79000000.0,Andheri,2600.0,4.0,5.0
332,23500000.0,Andheri,930.0,2.0,2.0
333,21000000.0,Andheri,736.0,2.0,2.0
334,37500000.0,Andheri,1375.0,3.0,3.0
335,25000000.0,Andheri,1050.0,3.0,2.0
336,19000000.0,Andheri,905.0,2.0,2.0
337,47000000.0,Andheri,1700.0,3.0,3.0
338,34000000.0,Andheri,1200.0,3.0,2.0
340,33000000.0,Andheri,1079.0,2.0,2.0
342,20500000.0,Andheri,1000.0,2.0,2.0
343,15500000.0,Andheri,650.0,2.0,2.0
344,20000000.0,Andheri,960.0,2.0,2.0
345,38000000.0,Andheri,1610.0,3.0,3.0
346,15300000.0,Andheri,800.0,2.0,2.0
347,15000000.0,Andheri,510.0,2.0,2.0
348,22200000.000000004,Andheri,1250.0,2.0,2.0
351,62500000.0,Andheri,2040.0,4.0,3.0
354,18500000.0,Andheri,850.0,2.0,2.0
356,35000000.0,Andheri,1368.0,3.0,3.0
357,19500000.0,Andheri,950.0,2.0,2.0
359,25000000.0,Andheri,935.0,2.0,2.0
361,22500000.0,Andheri,1100.0,2.0,2.0
364,18000000.0,Andheri,1000.0,2.0,2.0
365,19000000.0,Andheri,825.0,2.0,2.0
366,27500000.0,Andheri,1122.0,2.0,2.0
367,22500000.0,Andheri,970.0,2.0,2.0
368,30000000.0,Andheri,1185.0,3.0,3.0
369,22500000.0,Andheri,810.0,2.0,2.0
370,19000000.0,Andheri,1000.0,2.0,2.0
373,52500000.0,Andheri,1865.0,3.0,4.0
374,20000000.0,Andheri,875.0,2.0,2.0
375,17500000.0,Andheri,850.0,2.0,2.0
377,26500000.0,Andheri,1300.0,2.0,2.0
378,19800000.0,Andheri,690.0,2.0,2.0
379,30000000.0,Andheri,1400.0,2.0,2.0
380,28000000.0,Andheri,1350.0,2.0,2.0
381,27500000.0,Andheri,1190.0,2.0,2.0
383,17500000.0,Andheri,941.0,2.0,2.0
384,24000000.0,Andheri,865.0,2.0,2.0
385,20500000.0,Andheri,1000.0,2.0,2.0
386,40000000.0,Andheri,1400.0,3.0,2.0
387,18000000.0,Andheri,680.0,2.0,2.0
389,16800000.0,Andheri,930.0,2.0,2.0
390,23000000.0,Andheri,1200.0,2.0,2.0
391,29000000.0,Andheri,1250.0,2.0,2.0
392,35000000.0,Andheri,1200.0,2.0,2.0
393,21000000.0,Andheri,800.0,2.0,2.0
394,34200000.0,Andheri,1300.0,3.0,4.0
396,15800000.0,Andheri,600.0,2.0,2.0
398,19000000.0,Andheri,902.0,2.0,2.0
399,14000000.0,Andheri,630.0,2.0,2.0
400,23000000.0,Andheri,870.0,2.0,2.0
401,20000000.0,Andheri,750.0,2.0,2.0
402,29900000.000000004,Antop,1315.0,3.0,3.0
403,20900000.0,Antop,1116.0,3.0,3.0
404,12000000.0,Antop,750.0,2.0,2.0
405,12000000.0,Antop,750.0,2.0,2.0
407,25000000.0,Bandra,800.0,2.0,2.0
408,48500000.0,Bandra,1100.0,3.0,3.0
411,40000000.0,Bandra,1300.0,2.0,2.0
413,87500000.0,Bandra,1740.0,3.0,4.0
415,148800000.0,Bandra,3200.0,3.0,5.0
416,34000000.0,Bandra,850.0,2.0,2.0
418,49000000.0,Bandra,1350.0,2.0,2.0
419,73000000.0,Bandra,1330.0,3.0,3.0
420,30000000.0,Bandra,640.0,2.0,2.0
421,25000000.0,Bandra,1000.0,2.0,2.0
422,175000000.0,Bandra,3250.0,3.0,3.0
424,23000000.0,Bandra,630.0,2.0,2.0
425,175000000.0,Bandra,3250.0,3.0,3.0
426,34700000.0,Bandra,800.0,2.0,2.0
427,46000000.0,Bandra,1027.0,3.0,3.0
428,36000000.0,Bandra,857.0,2.0,2.0
429,31000000.0,Bandra,1000.0,2.0,2.0
430,22500000.0,Bandra,850.0,2.0,2.0
431,37500000.0,Bandra,845.0,2.0,3.0
432,37500000.0,Bandra,750.0,2.0,2.0
433,50000000.0,Bandra,1150.0,3.0,3.0
434,35000000.0,Bandra,750.0,2.0,2.0
435,47000000.0,Bandra,1100.0,3.0,2.0
